specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
肾内/泌尿,epoetin alfa,epoetin alfa,erythropoietin,erythropoiesis stimulating agent,anemia in chronic kidney disease,disease_directed_therapy,疾病直接治疗,disease_directed,stimulates erythropoiesis through erythropoietin receptor,hypertension thrombosis and hemoglobin target review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,furosemide,furosemide,lasix,loop diuretic,volume overload|edema|CKD,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits NKCC2 to promote natriuresis and diuresis,electrolyte renal and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,cinacalcet,cinacalcet,sensipar,calcimimetic,secondary hyperparathyroidism|CKD mineral bone disorder,disease_directed_therapy,疾病直接治疗,disease_directed,activates calcium sensing receptor to reduce PTH,hypocalcemia QT and seizure risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,lanthanum carbonate,lanthanum carbonate,fosrenol,phosphate binder,hyperphosphatemia|CKD mineral bone disorder,disease_directed_therapy,疾病直接治疗,disease_directed,binds dietary phosphate in gastrointestinal tract,GI obstruction radiopacity and tablet burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,ferric citrate,ferric citrate,auryxia,iron based phosphate binder,hyperphosphatemia|CKD anemia,disease_directed_therapy,疾病直接治疗,disease_directed,binds phosphate and provides absorbable iron,iron overload GI effects and ferritin monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,iron sucrose,iron sucrose,venofer,parenteral iron,anemia in chronic kidney disease|iron deficiency,risk_modifying_therapy,风险控制治疗,risk_modifying,repletes iron stores for erythropoiesis,hypersensitivity hypotension and iron overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,darbepoetin alfa,darbepoetin alfa,aranesp,erythropoiesis stimulating agent,anemia in chronic kidney disease,disease_directed_therapy,疾病直接治疗,disease_directed,stimulates erythropoietin receptor to increase red cell production,hypertension thrombosis and hemoglobin target review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,patiromer,patiromer,veltassa,potassium binder,hyperkalemia|CKD potassium control,risk_modifying_therapy,风险控制治疗,risk_modifying,binds potassium in gastrointestinal tract,hypomagnesemia constipation and drug separation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,lokelma,potassium binder,hyperkalemia|CKD potassium control,risk_modifying_therapy,风险控制治疗,risk_modifying,selectively exchanges sodium and hydrogen for potassium in gut,edema sodium load and drug separation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,levofloxacin,levofloxacin,levaquin,fluoroquinolone antibiotic,pyelonephritis|complicated urinary tract infection,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits bacterial DNA gyrase and topoisomerase IV,renal dose QT tendon glucose and CNS review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,cefepime,cefepime,,fourth generation cephalosporin,complicated urinary tract infection|gram negative infection,risk_modifying_therapy,风险控制治疗,risk_modifying,beta lactam antibiotic with gram negative coverage,renal dose neurotoxicity allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,oxybutynin,oxybutynin,ditropan,antimuscarinic,overactive bladder|urinary urgency,disease_directed_therapy,疾病直接治疗,disease_directed,blocks muscarinic receptors in bladder detrusor,delirium constipation urinary retention and glaucoma review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,acetaminophen,acetaminophen,paracetamol|acetaminophen iv,analgesic antipyretic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,central analgesic and antipyretic effect,liver dose and alcohol use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,ibuprofen,ibuprofen,,NSAID,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,inhibits cyclooxygenase and prostaglandin synthesis,renal bleeding heart failure and GI risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,ketorolac,ketorolac,,NSAID,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,potent short term NSAID analgesic,renal bleeding GI ulcer and duration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,morphine,morphine,morphine sulfate,opioid analgesic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,mu opioid receptor agonist for severe pain,respiratory depression delirium renal and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,hydromorphone,hydromorphone,hydromorphone dilaudid|dilaudid,opioid analgesic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,mu opioid receptor agonist for severe pain,respiratory depression delirium renal and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,oxycodone,oxycodone,oxycodone immediate release,opioid analgesic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,mu opioid receptor agonist for moderate to severe pain,respiratory depression delirium and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,tramadol,tramadol,ultram,opioid analgesic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,weak mu agonist and monoamine reuptake inhibition,seizure serotonin syndrome renal and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,lorazepam,lorazepam,ativan,benzodiazepine,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,GABA A positive allosteric modulator,respiratory depression delirium fall and hepatic context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,haloperidol,haloperidol,,antipsychotic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,D2 receptor antagonist for agitation or delirium,QT extrapyramidal and Parkinson disease review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,ondansetron,ondansetron,zofran,antiemetic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,5 HT3 receptor antagonist for nausea and vomiting,QT constipation and serotonin interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,prochlorperazine,prochlorperazine,,dopamine antagonist antiemetic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,dopamine receptor antagonism for nausea and vomiting,QT extrapyramidal sedation and Parkinson disease review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,metoclopramide,metoclopramide,,antiemetic prokinetic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,dopamine antagonist and prokinetic effect,extrapyramidal tardive dyskinesia and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,senna,senna,sennosides,stimulant laxative,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,stimulates intestinal motility,constipation pattern electrolyte and chronic use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,docusate,docusate,docusate sodium,stool softener,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,surfactant stool softener for constipation,limited efficacy and bowel obstruction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,bisacodyl,bisacodyl,,stimulant laxative,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,stimulates colonic peristalsis,obstruction dehydration and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,polyethylene glycol,polyethylene glycol,peg 3350|miralax,osmotic laxative,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,retains water in stool to improve bowel movement,obstruction dehydration and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,simethicone,simethicone,,antiflatulent,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,reduces surface tension of gas bubbles,low systemic risk but symptom masking review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,diphenhydramine,diphenhydramine,benadryl,antihistamine,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,H1 receptor antagonist with anticholinergic effects,delirium urinary retention glaucoma and sedation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,melatonin,melatonin,,sleep support,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,regulates circadian sleep signaling,sedation and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,sodium chloride,sodium chloride,normal saline|0 9 sodium chloride|0 9 percent sodium chloride|ns,crystalloid fluid,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,isotonic sodium chloride for fluids flush or diluent,volume overload sodium chloride burden and heart failure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,dextrose,dextrose,d5|d10|d50|dextrose 5|dextrose 10|dextrose 50,glucose solution,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,symptom_support,provides glucose calories or hypoglycemia rescue,hyperglycemia sodium dilution and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,lactated ringer,lactated ringer,lactated ringers|ringer,balanced crystalloid,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,balanced crystalloid fluid for resuscitation,potassium calcium liver and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,sterile water,sterile water,sw,diluent,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,sterile diluent for medication preparation,not for direct IV infusion without tonicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,heparin flush,heparin flush,heparin lock flush|heparin catheter flush,line flush,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,fluid_diluent_flush,low dose heparin for catheter patency,bleeding HIT and duplicate anticoagulation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,influenza vaccine,influenza vaccine,flu vaccine|influenza vaccine quadrivalent,vaccine,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,prophylaxis_prevention,preventive immunization against influenza,allergy acute illness and immunization status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,potassium chloride,potassium chloride,potassium chloride replacement,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes potassium deficit,hyperkalemia renal function infusion rate and ECG review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,magnesium sulfate,magnesium sulfate,,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes magnesium and stabilizes neuromuscular excitability,renal function hypotension and respiratory depression review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,calcium gluconate,calcium gluconate,,electrolyte replacement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_electrolyte_metabolic,repletes calcium and stabilizes myocardium in selected electrolyte emergencies,extravasation calcium level and digoxin caution review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,ferrous sulfate,ferrous sulfate,iron sulfate,iron supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,oral iron replacement for iron deficiency,constipation GI irritation and iron overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,folic acid,folic acid,folate,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,folate replacement for deficiency or anemia,masking B12 deficiency review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,thiamine,thiamine,vitamin B1,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,vitamin B1 replacement in malnutrition or alcohol use,low systemic risk but timing before glucose in deficiency context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,multivitamin,multivitamin,multivitamins,vitamin supplement,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,nutrition_support,general vitamin supplementation,renal fat soluble vitamin and duplicate therapy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,albumin,albumin,human albumin,colloid fluid,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,increases plasma oncotic pressure and expands intravascular volume,volume overload allergy and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,pantoprazole,pantoprazole,protonix,acid suppression,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,proton pump inhibition for stress ulcer prophylaxis,C difficile magnesium and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,famotidine,famotidine,pepcid,H2 receptor antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,H2 receptor blockade reduces gastric acid secretion,renal dose delirium and QT review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,omeprazole,omeprazole,prilosec,proton pump inhibitor,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,prophylaxis_prevention,proton pump inhibition suppresses gastric acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,naloxone,naloxone,narcan,opioid antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,competitive opioid receptor antagonist reverses opioid toxicity,withdrawal recurrent sedation and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,flumazenil,flumazenil,,benzodiazepine antagonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,benzodiazepine receptor antagonist reverses selected benzodiazepine effects,seizure risk chronic benzodiazepine use and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,epinephrine,epinephrine,adrenaline,adrenergic agonist,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,emergency_rescue,alpha and beta agonist supports anaphylaxis or cardiac arrest response,arrhythmia ischemia and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,diphenoxylate atropine,diphenoxylate atropine,lomotil,antidiarrheal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,opioid antidiarrheal plus anticholinergic reduces intestinal motility,ileus infectious diarrhea delirium and anticholinergic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,loperamide,loperamide,imodium,antidiarrheal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,peripheral opioid receptor agonist slows intestinal transit,infectious colitis ileus and QT with misuse review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,guaifenesin,guaifenesin,,expectorant,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,expectorant helps loosen airway secretions,hydration status and symptom masking review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,benzonatate,benzonatate,tessalon,antitussive,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,peripheral anesthetic effect reduces cough reflex,swallowing whole overdose and mental status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,lidocaine patch,lidocaine patch,lidocaine 5% patch,local anesthetic,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,local sodium channel blockade reduces focal pain,skin reaction systemic toxicity and duplicate local anesthetic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,lidocaine,lidocaine,1% lidocaine|lidocaine injection,local anesthetic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,local sodium channel blockade for procedural anesthesia,systemic toxicity arrhythmia dose and allergy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,chlorhexidine,chlorhexidine,,antiseptic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,topical antiseptic reduces skin microbial burden,skin irritation allergy and mucosal exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,povidone iodine,povidone iodine,betadine,antiseptic,supportive care|general inpatient care,general_inpatient_medication,住院通用服务药物,procedure_or_nursing,iodine antiseptic for skin preparation,iodine allergy thyroid and skin irritation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
肾内/泌尿,nystatin,nystatin,nystatin oral suspension,antifungal,supportive care|general inpatient care,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,topical polyene antifungal for oral candidiasis,swallowing local irritation and systemic infection mismatch review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为支持治疗或住院通用药物功能知识，不单独作为疾病直接治疗证据
