specialty_name,standard_drug_name,aliases,drug_class,disease_context,treatment_role,mechanism_or_function,major_cautions,reference_source,reference_url,reference_note
神经,levetiracetam,keppra,antiepileptic,seizure|epilepsy|status epilepticus,disease_directed_therapy,modulates synaptic vesicle protein SV2A to reduce seizure activity,renal dose and behavioral adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic reference drug
神经,phenytoin,dilantin,antiepileptic,seizure|epilepsy|status epilepticus,disease_directed_therapy,blocks voltage gated sodium channels to stabilize neuronal membranes,drug level interaction hepatic and rash review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic reference drug
神经,lacosamide,vimpat,antiepileptic,seizure|epilepsy,disease_directed_therapy,enhances slow inactivation of voltage gated sodium channels,PR interval cardiac conduction and dizziness review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic reference drug
神经,lamotrigine,lamictal|lamotrig,antiepileptic,seizure|epilepsy|bipolar disorder,disease_directed_therapy,inhibits sodium channels and reduces glutamate release,serious rash and titration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic reference drug
神经,topiramate,topamax,antiepileptic,seizure|epilepsy|migraine,disease_directed_therapy,modulates sodium channels GABA and glutamate activity,renal stones acidosis cognitive adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic and migraine reference drug
神经,valproate,valproic acid|divalproex,antiepileptic,seizure|epilepsy|migraine,disease_directed_therapy,increases GABA activity and broad antiseizure effect,liver platelet pregnancy and ammonia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,broad spectrum antiepileptic reference drug
神经,gabapentin,neurontin,neuropathic pain agent,neuropathic pain|seizure,risk_modifying_therapy,binds alpha 2 delta calcium channel subunit to reduce neuropathic signaling,renal dose sedation and fall risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,neuropathic pain and seizure context drug
神经,baclofen,,antispasticity agent,spasticity|multiple sclerosis|spinal cord disease,risk_modifying_therapy,GABA B agonist reduces spinal excitatory transmission,sedation renal dose and withdrawal review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,spasticity management reference drug
神经,donepezil,aricept,cholinesterase inhibitor,dementia|alzheimer disease,disease_directed_therapy,inhibits acetylcholinesterase to improve cholinergic signaling,bradycardia syncope and GI adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,cholinesterase inhibitor reference drug
神经,carbidopa levodopa,sinemet|levodopa,dopaminergic agent,parkinson disease,disease_directed_therapy,replaces dopamine precursor while reducing peripheral metabolism,orthostasis hallucination dyskinesia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,dopaminergic therapy reference drug
神经,alteplase,tPA|rtPA,thrombolytic,acute ischemic stroke|pulmonary embolism,disease_directed_therapy,converts plasminogen to plasmin and dissolves fibrin clot,strict bleeding contraindication and time window review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,thrombolytic reference drug for selected stroke contexts
神经,mannitol,,osmotic agent,cerebral edema|intracranial hypertension,risk_modifying_therapy,increases plasma osmolality to reduce cerebral edema,renal function serum osmolality and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,osmotic therapy reference drug
神经,memantine,namenda,NMDA receptor antagonist,dementia|alzheimer disease,disease_directed_therapy,modulates glutamatergic NMDA receptor activity,renal dose dizziness and confusion review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,dementia medication reference drug
神经,sumatriptan,imitrex,triptan,migraine,disease_directed_therapy,5 HT1B 1D agonist causing cranial vasoconstriction and trigeminal inhibition,coronary disease stroke and serotonin syndrome review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,migraine abortive therapy reference drug
呼吸,albuterol,salbutamol|albuterol sulfate,short acting beta agonist,asthma|COPD|bronchospasm,disease_directed_therapy,stimulates beta 2 receptors to relax bronchial smooth muscle,tachycardia tremor and potassium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,short acting beta agonist reference drug
呼吸,ipratropium,atrovent,short acting muscarinic antagonist,COPD|bronchospasm,disease_directed_therapy,blocks muscarinic receptors to reduce bronchoconstriction,glaucoma urinary retention and anticholinergic burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,short acting anticholinergic bronchodilator reference drug
呼吸,tiotropium,spiriva,long acting muscarinic antagonist,COPD,disease_directed_therapy,long acting muscarinic blockade for maintenance bronchodilation,urinary retention glaucoma and anticholinergic burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,long acting muscarinic antagonist reference drug
呼吸,budesonide,formoterol budesonide|pulmicort,inhaled corticosteroid,asthma|COPD,disease_directed_therapy,reduces airway inflammation through glucocorticoid receptor effect,pneumonia thrush and systemic steroid exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,inhaled corticosteroid reference drug
呼吸,fluticasone,,inhaled corticosteroid,asthma|COPD,disease_directed_therapy,reduces airway inflammation and exacerbation risk,oral candidiasis pneumonia and adrenal suppression review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,inhaled corticosteroid reference drug
呼吸,prednisone,,systemic corticosteroid,asthma exacerbation|COPD exacerbation|inflammatory lung disease,risk_modifying_therapy,systemic glucocorticoid reduces airway inflammation,glucose infection GI bleeding and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,systemic corticosteroid reference drug
呼吸,methylprednisolone,methylpred|solu medrol,systemic corticosteroid,asthma exacerbation|COPD exacerbation|ARDS inflammation,risk_modifying_therapy,systemic glucocorticoid with anti inflammatory effect,glucose infection GI bleeding and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,systemic corticosteroid reference drug
呼吸,azithromycin,zithromax,macrolide antibiotic,pneumonia|COPD exacerbation,risk_modifying_therapy,inhibits bacterial protein synthesis through 50S ribosomal binding,QT interaction and liver review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,macrolide antibiotic reference drug in respiratory infection contexts
呼吸,ceftriaxone,rocephin,cephalosporin antibiotic,pneumonia|sepsis|bacterial infection,risk_modifying_therapy,beta lactam antibiotic inhibits bacterial cell wall synthesis,biliary sludging allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,cephalosporin antibiotic reference drug in pneumonia contexts
呼吸,piperacillin tazobactam,zosyn,broad spectrum beta lactam,pneumonia|aspiration pneumonia|sepsis,risk_modifying_therapy,antipseudomonal penicillin plus beta lactamase inhibitor,renal dose sodium load allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,broad spectrum antibiotic reference drug
呼吸,vancomycin,,glycopeptide antibiotic,MRSA pneumonia|severe gram positive infection,risk_modifying_therapy,inhibits gram positive bacterial cell wall synthesis,renal toxicity level monitoring and infusion reaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,MRSA coverage reference drug
呼吸,furosemide,lasix,loop diuretic,pulmonary edema|heart failure with dyspnea,risk_modifying_therapy,promotes diuresis and reduces congestion,electrolyte renal and volume review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,diuretic relevant for pulmonary edema
呼吸,oseltamivir,tamiflu,neuraminidase inhibitor,influenza pneumonia|influenza infection,disease_directed_therapy,inhibits influenza neuraminidase and viral release,renal dose neuropsychiatric and timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiviral reference drug for influenza
呼吸,levofloxacin,levaquin,fluoroquinolone antibiotic,pneumonia|COPD exacerbation,risk_modifying_therapy,inhibits bacterial DNA gyrase and topoisomerase IV,QT tendon glucose CNS and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,respiratory fluoroquinolone reference drug
肾内/泌尿,tamsulosin,flomax,alpha 1 blocker,benign prostatic hyperplasia|urinary retention,disease_directed_therapy,relaxes smooth muscle in prostate and bladder neck,orthostatic hypotension and cataract surgery review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,alpha blocker reference drug for urinary symptoms
肾内/泌尿,finasteride,proscar,5 alpha reductase inhibitor,benign prostatic hyperplasia,disease_directed_therapy,reduces dihydrotestosterone and prostate volume,pregnancy handling and prostate cancer screening review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,5 alpha reductase inhibitor reference drug
肾内/泌尿,phenazopyridine,,urinary analgesic,dysuria|urinary tract symptoms,supportive_or_symptomatic_therapy,local urinary tract analgesic for dysuria symptoms,renal impairment and short duration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,urinary analgesic reference drug
肾内/泌尿,ceftriaxone,rocephin,cephalosporin antibiotic,urinary tract infection|pyelonephritis,risk_modifying_therapy,beta lactam antibiotic inhibits bacterial cell wall synthesis,allergy biliary and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antibiotic reference drug in UTI contexts
肾内/泌尿,gentamicin,gentamicin sulfate,aminoglycoside antibiotic,urinary tract infection|gram negative infection,risk_modifying_therapy,inhibits bacterial protein synthesis at 30S ribosome,nephrotoxicity ototoxicity and level monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,aminoglycoside antibiotic reference drug requiring renal safety review
肾内/泌尿,trimethoprim sulfamethoxazole,TMP SMX|bactrim,antifolate antibiotic,urinary tract infection|Pneumocystis prophylaxis,risk_modifying_therapy,inhibits sequential folate synthesis in bacteria,renal dose potassium allergy and cytopenia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,UTI antibiotic requiring potassium and renal review
肾内/泌尿,nitrofurantoin,macrobid,nitrofuran antibiotic,lower urinary tract infection,risk_modifying_therapy,bacterial nitrofuran reduction damages DNA and ribosomal proteins,avoid with poor renal function and pulmonary toxicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,lower UTI antibiotic reference drug
肾内/泌尿,calcium carbonate,,phosphate binder,chronic kidney disease mineral bone disorder|phosphate binder,disease_directed_therapy,binds dietary phosphate and provides calcium,hypercalcemia constipation and vascular calcification review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,phosphate binder and calcium supplement reference drug
肾内/泌尿,sevelamer,renvela|renagel,non calcium phosphate binder,chronic kidney disease mineral bone disorder|hyperphosphatemia,disease_directed_therapy,binds phosphate in gastrointestinal tract,GI obstruction and tablet burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,non calcium phosphate binder reference drug
肾内/泌尿,calcitriol,,active vitamin D,chronic kidney disease mineral bone disorder|secondary hyperparathyroidism,disease_directed_therapy,active vitamin D receptor agonist increases calcium absorption,hypercalcemia hyperphosphatemia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,active vitamin D reference drug
肾内/泌尿,sodium bicarbonate,,alkalinizing agent,metabolic acidosis|chronic kidney disease,risk_modifying_therapy,provides bicarbonate buffer to correct metabolic acidosis,sodium load volume overload and alkalosis review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,alkali therapy reference drug
肾内/泌尿,sodium polystyrene sulfonate,kayexalate,potassium binder,hyperkalemia,risk_modifying_therapy,exchanges sodium for potassium in gut to reduce potassium,GI necrosis sodium load and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,potassium binder reference drug
肾内/泌尿,epoetin alfa,erythropoietin,erythropoiesis stimulating agent,anemia in chronic kidney disease,disease_directed_therapy,stimulates erythropoiesis through erythropoietin receptor,hypertension thrombosis and hemoglobin target review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,CKD anemia reference drug
肾内/泌尿,furosemide,lasix,loop diuretic,volume overload|edema|CKD,risk_modifying_therapy,inhibits NKCC2 to promote natriuresis and diuresis,electrolyte renal and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,loop diuretic for renal volume management
内分泌/代谢,insulin,regular insulin|insulin lispro|insulin glargine|insulin aspart,insulin,diabetes|hyperglycemia|diabetic ketoacidosis,disease_directed_therapy,replaces or supplements insulin to reduce blood glucose,hypoglycemia potassium and nutrition status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,insulin therapy reference drug group
内分泌/代谢,metformin,,biguanide,type 2 diabetes|insulin resistance,disease_directed_therapy,reduces hepatic glucose production and improves insulin sensitivity,renal function hypoxia contrast and lactic acidosis risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,biguanide diabetes reference drug
内分泌/代谢,glipizide,,sulfonylurea,type 2 diabetes,disease_directed_therapy,stimulates pancreatic insulin secretion,hypoglycemia renal nutrition and elderly risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,sulfonylurea reference drug
内分泌/代谢,levothyroxine,levothyroxine sodium|synthroid,thyroid hormone,hypothyroidism,disease_directed_therapy,replaces thyroxine hormone,cardiac ischemia arrhythmia and dosing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,thyroid hormone replacement reference drug
内分泌/代谢,methimazole,,antithyroid drug,hyperthyroidism|thyrotoxicosis,disease_directed_therapy,inhibits thyroid hormone synthesis through thyroid peroxidase blockade,agranulocytosis liver injury and pregnancy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antithyroid reference drug
内分泌/代谢,propylthiouracil,PTU,antithyroid drug,thyroid storm|hyperthyroidism,disease_directed_therapy,inhibits thyroid hormone synthesis and peripheral T4 to T3 conversion,severe liver injury and blood count review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antithyroid reference drug for selected scenarios
内分泌/代谢,hydrocortisone,,glucocorticoid,adrenal insufficiency|steroid replacement|adrenal crisis,disease_directed_therapy,replaces cortisol and supports stress response,glucose infection delirium and GI bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,corticosteroid replacement reference drug
内分泌/代谢,dexamethasone,,glucocorticoid,adrenal testing|cerebral edema|inflammatory disease,risk_modifying_therapy,potent glucocorticoid suppresses inflammation and adrenal axis,hyperglycemia infection delirium and myopathy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,potent corticosteroid reference drug
内分泌/代谢,desmopressin,ddavp,vasopressin analog,diabetes insipidus|nocturia|hyponatremia risk context,disease_directed_therapy,V2 receptor agonist increases renal water reabsorption,hyponatremia fluid restriction and sodium monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vasopressin analog reference drug
内分泌/代谢,calcium gluconate,,calcium salt,hypocalcemia|hyperkalemia cardiac membrane stabilization,risk_modifying_therapy,provides calcium and stabilizes cardiac membrane in hyperkalemia,extravasation calcium level and digoxin caution review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,calcium therapy reference drug
内分泌/代谢,vitamin d,cholecalciferol|ergocalciferol,vitamin supplement,vitamin deficiency|bone metabolism|hypocalcemia,supportive_or_symptomatic_therapy,supplements vitamin D to support calcium metabolism,hypercalcemia renal stones and dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vitamin supplementation reference drug
内分泌/代谢,alendronate,fosamax,bisphosphonate,osteoporosis|bone metabolism,disease_directed_therapy,inhibits osteoclast mediated bone resorption,esophageal irritation renal function and hypocalcemia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,bisphosphonate reference drug
内分泌/代谢,glucagon,,counter regulatory hormone,severe hypoglycemia,risk_modifying_therapy,raises glucose through hepatic glycogenolysis and gluconeogenesis,nausea glycogen depletion and insulinoma context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,hypoglycemia rescue reference drug
消化,pantoprazole,protonix,proton pump inhibitor,GERD|GI bleeding prophylaxis|peptic ulcer,disease_directed_therapy,inhibits gastric H K ATPase and suppresses acid secretion,C difficile magnesium B12 and long term use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,proton pump inhibitor reference drug
消化,omeprazole,prilosec,proton pump inhibitor,GERD|peptic ulcer,disease_directed_therapy,inhibits gastric H K ATPase and suppresses acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,proton pump inhibitor reference drug
消化,famotidine,pepcid,H2 receptor antagonist,GERD|stress ulcer prophylaxis|peptic ulcer,disease_directed_therapy,blocks histamine H2 receptor to reduce gastric acid secretion,renal dose delirium and QT risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,H2 blocker reference drug
消化,lactulose,,osmotic laxative,hepatic encephalopathy|constipation,disease_directed_therapy,acidifies colon and reduces ammonia absorption while promoting catharsis,diarrhea dehydration and sodium potassium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,hepatic encephalopathy and constipation reference drug
消化,rifaximin,xifaxan,non absorbed antibiotic,hepatic encephalopathy|traveler diarrhea,disease_directed_therapy,reduces intestinal ammonia producing bacteria,allergy C difficile and liver context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,non absorbed antibiotic reference drug for hepatic encephalopathy
消化,metronidazole,flagyl,nitroimidazole antibiotic,intra abdominal infection|colitis|anaerobic infection,risk_modifying_therapy,causes DNA strand breakage in anaerobic organisms,neuropathy alcohol interaction and liver review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antibiotic reference drug in GI infection contexts
消化,ciprofloxacin,cipro,fluoroquinolone antibiotic,intra abdominal infection|biliary infection|infectious diarrhea,risk_modifying_therapy,inhibits bacterial DNA gyrase and topoisomerase IV,QT tendon glucose CNS and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,fluoroquinolone reference drug in GI infection contexts
消化,ceftriaxone,rocephin,cephalosporin antibiotic,biliary infection|spontaneous bacterial peritonitis|GI infection,risk_modifying_therapy,beta lactam antibiotic inhibits bacterial cell wall synthesis,biliary sludging allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,GI infection antibiotic reference drug
消化,ursodiol,ursodeoxycholic acid,bile acid,biliary disease|cholestasis,disease_directed_therapy,hydrophilic bile acid improves bile flow and reduces toxic bile acids,diarrhea liver test monitoring and gallstone context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,bile acid therapy reference drug
消化,mesalamine,mesalazine|5 ASA,aminosalicylate,inflammatory bowel disease|ulcerative colitis,disease_directed_therapy,topical anti inflammatory effect in intestinal mucosa,renal function hypersensitivity and pancreatitis review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,5 ASA reference drug for IBD
消化,prednisone,,systemic corticosteroid,inflammatory bowel disease flare|autoimmune hepatitis,risk_modifying_therapy,systemic glucocorticoid reduces inflammation,glucose infection GI bleeding mood and bone review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,systemic steroid reference drug in GI inflammatory contexts
消化,octreotide,sandostatin,somatostatin analog,variceal bleeding|neuroendocrine tumor,disease_directed_therapy,reduces splanchnic blood flow and hormone secretion,glucose bradycardia gallstone and QT review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,variceal bleeding adjunct reference drug
消化,spironolactone,,mineralocorticoid receptor antagonist,ascites|cirrhosis edema,risk_modifying_therapy,blocks aldosterone mediated sodium retention,potassium renal and endocrine adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,ascites diuretic reference drug
消化,furosemide,lasix,loop diuretic,ascites|edema|volume overload,risk_modifying_therapy,inhibits NKCC2 to promote natriuresis,electrolyte renal and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,diuretic reference drug in ascites or edema contexts
心血管,amlodipine,norvasc,calcium channel blocker,hypertension|angina,risk_modifying_therapy,dihydropyridine calcium channel blockade reduces vascular tone,edema hypotension and heart failure context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,calcium channel blocker reference drug
心血管,diltiazem,cardizem,non dihydropyridine calcium channel blocker,atrial fibrillation rate control|angina|hypertension,risk_modifying_therapy,slows AV nodal conduction and reduces vascular tone,bradycardia heart block and heart failure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,rate control calcium channel blocker reference drug
心血管,hydralazine,,vasodilator,hypertension|heart failure afterload reduction,risk_modifying_therapy,direct arteriolar vasodilation reduces afterload,tachycardia hypotension and lupus like syndrome review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vasodilator reference drug
心血管,isorbide mononitrate,imdur,nitrate,angina|heart failure adjunct,disease_directed_therapy,venous and coronary vasodilation through nitric oxide pathway,hypotension headache and PDE5 inhibitor interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,long acting nitrate reference drug
心血管,digoxin,lanoxin,cardiac glycoside,heart failure|atrial fibrillation rate control,risk_modifying_therapy,inhibits sodium potassium ATPase and increases vagal tone,narrow therapeutic index renal dose potassium and toxicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,cardiac glycoside reference drug
心血管,dobutamine,,inotrope,acute decompensated heart failure|cardiogenic shock,risk_modifying_therapy,beta agonist inotrope increases cardiac contractility,arrhythmia ischemia and blood pressure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,inotrope reference drug
心血管,norepinephrine,levophed,vasopressor,shock|hypotension,risk_modifying_therapy,alpha and beta adrenergic agonist raises vascular tone and blood pressure,ischemia arrhythmia and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vasopressor reference drug
心血管,rosuvastatin,crestor,statin,hyperlipidemia|coronary artery disease|stroke prevention,risk_modifying_therapy,inhibits HMG CoA reductase and lowers LDL cholesterol,myopathy liver and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,high intensity statin reference drug
心血管,ezetimibe,zetia,cholesterol absorption inhibitor,hyperlipidemia|coronary artery disease risk reduction,risk_modifying_therapy,inhibits intestinal cholesterol absorption,liver enzyme and statin combination review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,lipid lowering adjunct reference drug
心血管,torsemide,demadex,loop diuretic,heart failure|volume overload|edema,risk_modifying_therapy,loop diuretic promotes natriuresis and diuresis,electrolyte renal and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,loop diuretic reference drug
