standard_drug_name,aliases,drug_class,treatment_role,supportive_category,mechanism_or_function,major_cautions,reference_source,reference_url,reference_note
calcium gluconate,,electrolyte replacement,supportive_or_symptomatic_therapy,electrolyte_repletion,repletes calcium and stabilizes myocardium in selected electrolyte emergencies,extravasation calcium level and digoxin caution review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,electrolyte repletion medication requiring lab context
ferrous sulfate,iron sulfate,iron supplement,supportive_or_symptomatic_therapy,anemia_support,oral iron replacement for iron deficiency,constipation GI irritation and iron overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,anemia supportive medication
folic acid,folate,vitamin supplement,supportive_or_symptomatic_therapy,vitamin_support,folate replacement for deficiency or anemia,masking B12 deficiency review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vitamin supportive medication
thiamine,vitamin B1,vitamin supplement,supportive_or_symptomatic_therapy,vitamin_support,vitamin B1 replacement in malnutrition or alcohol use,low systemic risk but timing before glucose in deficiency context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,vitamin supportive medication
multivitamin,multivitamins,vitamin supplement,supportive_or_symptomatic_therapy,vitamin_support,general vitamin supplementation,renal fat soluble vitamin and duplicate therapy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,general supportive supplement
albumin,human albumin,colloid fluid,supportive_or_symptomatic_therapy,volume_oncotic_support,increases plasma oncotic pressure and expands intravascular volume,volume overload allergy and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,oncotic support medication
pantoprazole,protonix,acid suppression,supportive_or_symptomatic_therapy,stress_ulcer_prophylaxis,proton pump inhibition for stress ulcer prophylaxis,C difficile magnesium and indication review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,supportive acid suppression when not disease directed
famotidine,pepcid,H2 receptor antagonist,supportive_or_symptomatic_therapy,stress_ulcer_prophylaxis,H2 receptor blockade reduces gastric acid secretion,renal dose delirium and QT review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,supportive acid suppression medication
omeprazole,prilosec,proton pump inhibitor,supportive_or_symptomatic_therapy,stress_ulcer_prophylaxis,proton pump inhibition suppresses gastric acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,supportive PPI when used for prophylaxis
naloxone,narcan,opioid antagonist,supportive_or_symptomatic_therapy,rescue_reversal,competitive opioid receptor antagonist reverses opioid toxicity,withdrawal recurrent sedation and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,rescue medication for opioid oversedation
flumazenil,,benzodiazepine antagonist,supportive_or_symptomatic_therapy,rescue_reversal,benzodiazepine receptor antagonist reverses selected benzodiazepine effects,seizure risk chronic benzodiazepine use and monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,rescue medication for selected benzodiazepine oversedation
epinephrine,adrenaline,adrenergic agonist,supportive_or_symptomatic_therapy,emergency_rescue,alpha and beta agonist supports anaphylaxis or cardiac arrest response,arrhythmia ischemia and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,emergency rescue medication
diphenoxylate atropine,lomotil,antidiarrheal,supportive_or_symptomatic_therapy,gastrointestinal_symptom_relief,opioid antidiarrheal plus anticholinergic reduces intestinal motility,ileus infectious diarrhea delirium and anticholinergic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antidiarrheal supportive medication
loperamide,imodium,antidiarrheal,supportive_or_symptomatic_therapy,gastrointestinal_symptom_relief,peripheral opioid receptor agonist slows intestinal transit,infectious colitis ileus and QT with misuse review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antidiarrheal supportive medication
guaifenesin,,expectorant,supportive_or_symptomatic_therapy,respiratory_symptom_relief,expectorant helps loosen airway secretions,hydration status and symptom masking review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,respiratory symptom supportive medication
benzonatate,tessalon,antitussive,supportive_or_symptomatic_therapy,respiratory_symptom_relief,peripheral anesthetic effect reduces cough reflex,swallowing whole overdose and mental status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,cough supportive medication
lidocaine patch,lidocaine 5% patch,local anesthetic,supportive_or_symptomatic_therapy,pain_control,local sodium channel blockade reduces focal pain,skin reaction systemic toxicity and duplicate local anesthetic review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,topical pain supportive medication
lidocaine,1% lidocaine|lidocaine injection,local anesthetic,general_inpatient_medication,procedure_support,local sodium channel blockade for procedural anesthesia,systemic toxicity arrhythmia dose and allergy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,procedure support medication
chlorhexidine,,antiseptic,general_inpatient_medication,skin_or_line_care,topical antiseptic reduces skin microbial burden,skin irritation allergy and mucosal exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,skin or line care service medication
povidone iodine,betadine,antiseptic,general_inpatient_medication,skin_or_line_care,iodine antiseptic for skin preparation,iodine allergy thyroid and skin irritation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,skin preparation service medication
nystatin,nystatin oral suspension,antifungal,supportive_or_symptomatic_therapy,mucosal_infection_support,topical polyene antifungal for oral candidiasis,swallowing local irritation and systemic infection mismatch review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,oral mucosal supportive antifungal
fluconazole,diflucan,azole antifungal,supportive_or_symptomatic_therapy,mucosal_infection_support,azole antifungal inhibits fungal ergosterol synthesis,liver QT drug interaction and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antifungal supportive medication
insulin regular,regular insulin,glucose management,supportive_or_symptomatic_therapy,glycemic_support,short acting insulin lowers glucose in correction or inpatient protocols,hypoglycemia potassium and nutrition timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,inpatient glucose support medication
glucagon,,glucose rescue,supportive_or_symptomatic_therapy,glycemic_support,raises glucose through hepatic glycogenolysis and gluconeogenesis,nausea glycogen depletion and insulinoma context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,hypoglycemia rescue support medication
sodium bicarbonate,,alkalinizing agent,supportive_or_symptomatic_therapy,acid_base_support,provides bicarbonate buffer for selected acidosis or alkalinization contexts,sodium load alkalosis and volume overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,acid base support medication
phosphate replacement,potassium phosphate|sodium phosphate,electrolyte replacement,supportive_or_symptomatic_therapy,electrolyte_repletion,repletes phosphate deficit,calcium potassium sodium renal and infusion monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,phosphate repletion support medication
zinc sulfate,,trace element supplement,supportive_or_symptomatic_therapy,nutrition_support,zinc replacement supports nutrition and wound healing,nausea copper deficiency and dosing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nutrition support medication
ascorbic acid,vitamin C,vitamin supplement,supportive_or_symptomatic_therapy,nutrition_support,vitamin C replacement supports deficiency and wound healing,renal stones and high dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nutrition support medication
enteral nutrition,feeding formula|tube feeding,nutrition product,general_inpatient_medication,nutrition_support,provides calories protein and micronutrients through enteral route,aspiration glucose electrolyte and refeeding risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nutrition service therapy
parenteral nutrition,TPN|total parenteral nutrition,nutrition product,general_inpatient_medication,nutrition_support,provides intravenous macronutrients and micronutrients when enteral route inadequate,line infection glucose liver and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,parenteral nutrition service therapy
